type_name,name,date_stamp,agriculture,industry,construction,service,tourism,trans_comm,finance,real_estate,government,education,health,culture,other
сільська рада,Якимівська,2017-01-01,30,4,2,15,4,8,14,,5,12,9,6,
село,Степанівська,2017-01-01,107,,,3,5,3,,,5,18,4,5,
смт,Багачанська,2017-01-01,103,,15,,,3,,,5,14,8,1,
село,Радивонівська,2017-01-01,381,,,4,27,6,,,7,34,9,1,
село,Мала Решетилівка,2017-01-01,20,,,,,,,,,,,,17
село,Байрак,2017-01-01,126,,6,11,,,,,,7,4,,84
село,Буряківщина,2017-01-01,7,,,,,,,,,,,,8
село,Бутова Долина,2017-01-01,94,,,6,,2,,,,,2,,30
село,Гарнокут,2017-01-01,5,,,,,,,,,,,,
село,Довгалівка,2017-01-01,176,,,3,,1,,,,,1,2,
село,Перекопівка,2017-01-01,6,,,,,,,,,,,,
село,Пилипенки,2017-01-01,4,,,,,,,,,,,,
село,Шепелі,2017-01-01,,,,,,,,,,,,,3
село,Степанівка,2017-01-01,107,,,3,5,3,,,5,18,4,5,
село,Стефановщина,2017-01-01,,,,,,,,,1,2,,,
село,Багачка Перша,2017-01-01,23,,3,,,,,,5,4,2,1,
село,Семенівка,2017-01-01,30,5,,,1,,,,12,2,2,1,
село,Широке,2017-01-01,20,,3,,,1,,,,1,4,,
село,Радивонівка,2017-01-01,274,,,2,19,4,1,,7,32,7,,
село,Мар'янівка,2017-01-01,98,,,2,8,2,,,,2,2,1,
село,Володимирівка,2017-01-01,3,,,,,,,,,,,,
село,Велика Багачка,2017-01-01,965,55,67,325,79,55,,,213,293,305,,
сільська рада,Якимове,2017-01-01,20,3,2,10,3,6,10,,4,11,7,6,
сільська рада,Балюки,2017-01-01,10,1,,5,1,2,4,,1,1,2,,
сільська рада,Затон,2017-01-01,19,,,1,,1,,,,,2,1,19