name,population,born,died,move_in,move_out,date_stamp
Багачанська Перша,2446,25,44,6,46,1990-01-01
Багачанська Перша,2217,7,24,13,39,1995-01-01
Багачанська Перша,2083,5,27,8,31,2000-01-01
Багачанська Перша,1872,6,26,9,24,2005-01-01
Багачанська Перша,1118,7,21,5,17,2010-01-01
Багачанська Перша,1101,7,20,7,12,2011-01-01
Багачанська Перша,1085,4,23,6,9,2012-01-01
Багачанська Перша,1005,10,21,3,8,2013-01-01
Багачанська Перша,989,5,24,2,5,2014-01-01
Багачанська Перша,830,1,20,8,21,2016-01-01
Багачанська Перша,798,4,13,6,1,2017-01-01
Багачка Перша,894,6,12,2,14,1990-01-01
Багачка Перша,751,2,10,5,7,1995-01-01
Багачка Перша,727,1,8,2,9,2000-01-01
Багачка Перша,615,2,9,2,6,2005-01-01
Багачка Перша,348,2,5,1,6,2010-01-01
Багачка Перша,342,1,6,2,2,2011-01-01
Багачка Перша,317,1,6,2,2,2012-01-01
Багачка Перша,254,3,4,0,2,2013-01-01
Багачка Перша,238,1,6,0,1,2014-01-01
Багачка Перша,230,0,10,3,7,2016-01-01
Багачка Перша,244,1,4,3,0,2017-01-01
Балюки,415,6,11,4,8,1990-01-01
Балюки,395,6,12,7,7,1995-01-01
Балюки,370,3,5,2,0,2000-01-01
Балюки,365,0,9,10,6,2005-01-01
Балюки,355,1,9,0,20,2010-01-01
Балюки,327,0,13,4,6,2011-01-01
Балюки,312,0,5,5,0,2012-01-01
Балюки,312,2,7,9,0,2013-01-01
Балюки,316,3,5,5,17,2014-01-01
Балюки,302,1,7,4,13,2016-01-01
Балюки,287,1,6,15,3,2017-01-01
Велика Багачка,6050,75,65,,,1990-01-01
Велика Багачка,6060,64,80,,,1991-01-01
Велика Багачка,6044,75,69,,,1992-01-01
Велика Багачка,6050,88,74,,,1993-01-01
Велика Багачка,6064,54,69,,,1994-01-01
Велика Багачка,6049,64,98,,,1995-01-01
Велика Багачка,5945,77,100,,,1996-01-01
Велика Багачка,6015,63,86,,,1997-01-01
Велика Багачка,5992,65,89,,,1998-01-01
Велика Багачка,5969,65,79,,,1999-01-01
Велика Багачка,5931,56,75,,,2000-01-01
Велика Багачка,5912,65,97,,,2001-01-01
Велика Багачка,5880,44,80,181,125,2002-01-01
Велика Багачка,5900,49,88,146,107,2003-01-01
Велика Багачка,5900,65,101,188,127,2004-01-01
Велика Багачка,5925,46,106,177,149,2005-01-01
Велика Багачка,5893,61,97,159,132,2006-01-01
Велика Багачка,5884,56,108,146,139,2007-01-01
Велика Багачка,5839,52,87,140,118,2008-01-01
Велика Багачка,5826,53,92,116,113,2009-01-01
Велика Багачка,5790,63,97,129,88,2010-01-01
Велика Багачка,5797,68,82,128,112,2011-01-01
Велика Багачка,5799,44,86,100,104,2012-01-01
Велика Багачка,5753,55,74,131,80,2013-01-01
Велика Багачка,5785,54,96,123,96,2014-01-01
Велика Багачка,5770,57,89,109,112,2015-01-01
Велика Багачка,5735,55,97,27,43,2016-01-01
Володимирівка,42,1,0,,,2000-01-01
Володимирівка,43,0,0,,,2005-01-01
Володимирівка,43,1,2,,,2010-01-01
Володимирівка,42,1,1,,,2011-01-01
Володимирівка,42,0,1,,,2012-01-01
Володимирівка,41,0,1,,,2013-01-01
Володимирівка,40,1,2,,,2014-01-01
Володимирівка,39,1,2,,,2016-01-01
Володимирівка,38,0,2,,,2017-01-01
Іванівка,,,,,,1990-01-01
Іванівка,,,,,,1995-01-01
Іванівка,,,,,,2000-01-01
Іванівка,,,,,,2005-01-01
Іванівка,2,0,0,0,0,2010-01-01
Іванівка,2,0,0,0,0,2011-01-01
Іванівка,2,0,0,0,0,2012-01-01
Іванівка,2,0,0,0,0,2013-01-01
Іванівка,2,0,1,0,0,2014-01-01
Іванівка,1,0,0,0,0,2016-01-01
Іванівка,1,0,0,0,0,2017-01-01
Мар'янівка,278,3,0,,,1990-01-01
Мар'янівка,281,3,0,,,1995-01-01
Мар'янівка,284,3,0,,,2000-01-01
Мар'янівка,287,2,0,,,2005-01-01
Мар'янівка,289,6,10,,,2010-01-01
Мар'янівка,285,4,6,,,2011-01-01
Мар'янівка,283,2,2,,,2012-01-01
Мар'янівка,283,5,6,,,2013-01-01
Мар'янівка,282,4,2,,,2014-01-01
Мар'янівка,284,4,8,,,2016-01-01
Мар'янівка,280,1,4,,,2017-01-01
Перекопівка,,,,,,1990-01-01
Перекопівка,,,,,,1995-01-01
Перекопівка,,,,,,2000-01-01
Перекопівка,65,2,0,0,0,2005-01-01
Перекопівка,67,0,4,0,0,2010-01-01
Перекопівка,63,1,5,0,0,2011-01-01
Перекопівка,59,0,3,0,0,2012-01-01
Перекопівка,56,0,2,0,0,2013-01-01
Перекопівка,54,0,3,0,0,2014-01-01
Перекопівка,51,0,2,0,0,2016-01-01
Перекопівка,49,0,2,0,0,2017-01-01
Пушкареве,703,5,10,1,12,1990-01-01
Пушкареве,682,1,5,2,5,1995-01-01
Пушкареве,641,1,7,1,7,2000-01-01
Пушкареве,613,1,4,2,5,2005-01-01
Пушкареве,203,2,5,1,4,2010-01-01
Пушкареве,201,1,4,1,1,2011-01-01
Пушкареве,198,1,7,1,1,2012-01-01
Пушкареве,200,2,4,0,1,2013-01-01
Пушкареве,200,1,5,0,1,2014-01-01
Пушкареве,190,0,10,0,3,2016-01-01
Пушкареве,174,1,2,1,0,2017-01-01
Радивонівка,1502,20,,,,1990-01-01
Радивонівка,1522,12,,,,1995-01-01
Радивонівка,1534,7,,,,2000-01-01
Радивонівка,1541,8,,,,2005-01-01
Радивонівка,1549,20,21,,,2010-01-01
Радивонівка,1548,9,24,,,2011-01-01
Радивонівка,1533,8,25,,,2012-01-01
Радивонівка,1516,10,18,,,2013-01-01
Радивонівка,1508,9,24,,,2014-01-01
Радивонівка,1493,7,18,,,2016-01-01
Радивонівка,1482,4,24,,,2017-01-01
Радивонівська,1462,23,34,,,1990-01-01
Радивонівська,1451,15,36,,,1995-01-01
Радивонівська,1430,11,35,,,2000-01-01
Радивонівська,1406,12,40,,,2005-01-01
Радивонівська,1379,27,37,,,2010-01-01
Радивонівська,1368,15,363,,,2011-01-01
Радивонівська,1353,10,31,,,2012-01-01
Радивонівська,1374,15,25,,,2013-01-01
Радивонівська,1338,14,31,,,2014-01-01
Радивонівська,1321,12,31,,,2016-01-01
Радивонівська,1302,5,32,,,2017-01-01
Семенівка,547,7,10,2,13,1990-01-01
Семенівка,502,2,5,4,10,1995-01-01
Семенівка,449,3,6,3,9,2000-01-01
Семенівка,407,2,8,3,8,2005-01-01
Семенівка,356,2,6,2,4,2010-01-01
Семенівка,332,3,6,3,5,2011-01-01
Семенівка,327,1,7,2,4,2012-01-01
Семенівка,312,2,8,1,3,2013-01-01
Семенівка,287,2,8,1,2,2014-01-01
Семенівка,256,1,6,3,5,2016-01-01
Семенівка,234,1,5,1,0,2017-01-01
Степанівка,,,,,,1990-01-01
Степанівка,282,8,18,40,10,1995-01-01
Степанівка,302,3,7,40,40,2000-01-01
Степанівка,298,9,14,24,15,2005-01-01
Степанівка,302,10,11,30,11,2010-01-01
Степанівка,320,7,13,25,23,2011-01-01
Степанівка,316,3,13,16,34,2012-01-01
Степанівка,288,1,7,44,0,2013-01-01
Степанівка,326,6,8,32,10,2014-01-01
Степанівка,346,2,8,18,5,2016-01-01
Степанівка,353,5,7,7,7,2017-01-01
Степанівська,,,,,,1990-01-01
Степанівська,409,9,22,47,18,1995-01-01
Степанівська,425,3,12,40,40,2000-01-01
Степанівська,416,11,18,30,18,2005-01-01
Степанівська,421,10,11,35,13,2010-01-01
Степанівська,442,7,15,30,25,2011-01-01
Степанівська,439,4,17,25,41,2012-01-01
Степанівська,442,2,13,46,2,2013-01-01
Степанівська,477,6,10,33,11,2014-01-01
Степанівська,495,2,13,20,6,2016-01-01
Степанівська,498,6,13,11,8,2017-01-01
Стефанівщина,,,,,,1990-01-01
Стефанівщина,127,1,4,7,8,1995-01-01
Стефанівщина,125,0,5,0,1,2000-01-01
Стефанівщина,119,2,4,6,3,2005-01-01
Стефанівщина,118,0,0,5,2,2010-01-01
Стефанівщина,121,0,2,5,2,2011-01-01
Стефанівщина,120,1,4,9,7,2012-01-01
Стефанівщина,119,1,6,2,2,2013-01-01
Стефанівщина,114,0,2,1,1,2014-01-01
Стефанівщина,113,0,5,2,1,2016-01-01
Стефанівщина,109,1,4,4,1,2017-01-01
Широке,302,7,12,1,7,1990-01-01
Широке,282,2,4,2,6,1995-01-01
Широке,266,0,6,2,6,2000-01-01
Широке,242,1,5,2,5,2005-01-01
Широке,211,1,5,1,3,2010-01-01
Широке,202,2,4,1,4,2011-01-01
Широке,182,1,6,1,2,2012-01-01
Широке,178,3,5,1,2,2013-01-01
Широке,164,1,5,0,1,2014-01-01
Широке,154,0,4,2,6,2016-01-01
Широке,146,1,2,1,0,2017-01-01
Якимівська,1432,15,27,14,20,1990-01-01
Якимівська,1341,14,29,11,18,1995-01-01
Якимівська,1287,11,17,7,10,2000-01-01
Якимівська,1100,5,23,23,26,2005-01-01
Якимівська,1019,6,26,20,25,2010-01-01
Якимівська,1010,7,26,14,42,2011-01-01
Якимівська,963,6,16,7,7,2012-01-01
Якимівська,953,11,22,1,10,2013-01-01
Якимівська,943,8,19,15,19,2014-01-01
Якимівська,928,4,23,37,32,2016-01-01
Якимівська,914,5,15,23,13,2017-01-01
Якимове,1017,9,16,10,12,1990-01-01
Якимове,946,8,17,4,1,1995-01-01
Якимове,917,8,12,5,10,2000-01-01
Якимове,735,5,14,13,20,2005-01-01
Якимове,664,5,17,36,5,2010-01-01
Якимове,683,7,13,10,36,2011-01-01
Якимове,651,6,11,2,7,2012-01-01
Якимове,641,9,15,2,10,2013-01-01
Якимове,627,5,14,10,2,2014-01-01
Якимове,626,3,16,33,19,2016-01-01
Якимове,627,4,9,7,13,2017-01-01