code,name_eng,name_ua_full,name_ua_short
1,agriculture,"сільське господарство, лісове та рибне господарство",сільське господарство
2,industry,промисловість,промисловість
3,construction,будівництво,будівництво
4,service,торгівля та надання побутових послуг,торгівля
5,tourism,"діяльність готелів, ресторанів та кафе",послуги
6,trans_comm,діяльність транспорту та зв’язку,транспорт
7,finance,фінансова діяльність,фінанси
8,real_estate,"операції з нерухомим майном, оренда та надання послуг підприємцям",нерухомість
9,government,державне управління,управління
10,education,освіта,освіта
11,health,охорона здоров‘я та надання соціальної допомоги,охорона здоров‘я
12,culture,діяльність у сфері культури та спорту,культура та спорт
13,other,інше,інше